No,Emiten_Code,Shareholders,Name,Type,Values,Percentage
1,AADI,SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE BUDI BOWOLEKSONO - COMMISIONER - 0 - 0% ,BUDI BOWOLEKSONO, COMMISIONER , 0 , 0% 
1,AADI," PRIMUS DORIMULU - COMMISIONER - 8,500 - 0.0001% ",PRIMUS DORIMULU, COMMISIONER ," 8,500 ", 0.0001% 
1,AADI," JULIUS ASLAN - DIRECTOR - 2,506,265 - 0.0322% ",JULIUS ASLAN, DIRECTOR ," 2,506,265 ", 0.0322% 
1,AADI," PRIYADI - DIRECTOR - 207,108 - 0.0027% ",PRIYADI, DIRECTOR ," 207,108 ", 0.0027% 
1,AADI, LIE LUCKMAN - DIRECTOR - 0 - 0% ,LIE LUCKMAN, DIRECTOR , 0 , 0% 
1,AADI," SUSANTI - DIRECTOR - 22,700 - 0.0003% ",SUSANTI, DIRECTOR ," 22,700 ", 0.0003% 
1,AADI," AFILIASI - MORE THAN 5% - 1,468,230,571 - 18.8552% ",AFILIASI, MORE THAN 5% ," 1,468,230,571 ", 18.8552% 
1,AADI," PT ADARO STRATEGIC INVESTMENTS - MORE THAN 5% - 3,200,142,830 - 41.0965% ",PT ADARO STRATEGIC INVESTMENTS, MORE THAN 5% ," 3,200,142,830 ", 41.0965% 
1,AADI," GARIBALDI THOHIR - MORE THAN 5% - 454,011,607 - 5.8304% ",GARIBALDI THOHIR, MORE THAN 5% ," 454,011,607 ", 5.8304% 
1,AADI," PT ALAMTRI RESOURCES INDONESIA TBK (SEBELUMNYA BERNAMA PT ADARO ENERGY INDONESIA TBK) - MORE THAN 5% - 1,197,023,942 - 15.3723% ",PT ALAMTRI RESOURCES INDONESIA TBK (SEBELUMNYA BERNAMA PT ADARO ENERGY INDONESIA TBK), MORE THAN 5% ," 1,197,023,942 ", 15.3723% 
1,AADI, PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ,PENGENDALI, SAHAM SAHAM PENGENDALI , 0 , 0% 
1,AADI, NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ,NON PENGENDALI, SAHAM SAHAM NON PENGENDALI , 0 , 0% 
1,AADI, SAHAM TREASURY - TREASURY STOCK - 0 - 0% ,SAHAM TREASURY, TREASURY STOCK , 0 , 0% 
1,AADI, MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ,MASYARAKAT WARKAT, MASYARAKAT WARKAT , 0 , 0% 
1,AADI," MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 1,464,738,237 - 18.8103%",MASYARAKAT NON WARKAT, MASYARAKAT NON WARKAT ," 1,464,738,237 ", 18.8103%
2,AALI,"SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT ASTRA INTERNATIONAL TBK - MORE THAN 5% - 340,510,927 - 17.69% ",PT ASTRA INTERNATIONAL TBK, MORE THAN 5% ," 340,510,927 ", 17.69% 
2,AALI," PT ASTRA INTERNATIONAL TBK - MORE THAN 5% - 1,193,171,513 - 61.99% ",PT ASTRA INTERNATIONAL TBK, MORE THAN 5% ," 1,193,171,513 ", 61.99% 
2,AALI, PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ,PENGENDALI, SAHAM SAHAM PENGENDALI , 0 , 0% 
2,AALI, NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ,NON PENGENDALI, SAHAM SAHAM NON PENGENDALI , 0 , 0% 
2,AALI, SAHAM TREASURY - TREASURY STOCK - 0 - 0% ,SAHAM TREASURY, TREASURY STOCK , 0 , 0% 
2,AALI," MASYARAKAT WARKAT - MASYARAKAT WARKAT - 340,719,727 - 17.7% ",MASYARAKAT WARKAT, MASYARAKAT WARKAT ," 340,719,727 ", 17.7% 
2,AALI," MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 50,286,166 - 2.62%",MASYARAKAT NON WARKAT, MASYARAKAT NON WARKAT ," 50,286,166 ", 2.62%
3,ABBA,"SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT BEYOND MEDIA - MORE THAN 5% - 1,592,831,618 - 40.47% ",PT BEYOND MEDIA, MORE THAN 5% ," 1,592,831,618 ", 40.47% 
3,ABBA," PT SOLIC KREASI BARU - MORE THAN 5% - 542,042,122 - 13.77% ",PT SOLIC KREASI BARU, MORE THAN 5% ," 542,042,122 ", 13.77% 
3,ABBA," MEDIAHUIS IRELAND LIMITED - MORE THAN 5% - 282,886,300 - 7.19% ",MEDIAHUIS IRELAND LIMITED, MORE THAN 5% ," 282,886,300 ", 7.19% 
3,ABBA," MAHENDRA AGAKHAN T - MORE THAN 5% - 388,200 - 0.01% ",MAHENDRA AGAKHAN T, MORE THAN 5% ," 388,200 ", 0.01% 
