Emiten_Code,URL,Directors,Commissioners,No,Kode Saham,Nama Perusahaan,Secretary,Email Address,Phone Number,Director,Comissioners,Audit Committee,Shareholders,Subsidiary,Public Accountant,Total Subsidiary
AADI,https://www.idx.co.id/en/listed-companies/company-profiles/AADI,"['NAME | POSITION | AFFILIATED', ' JULIUS ASLAN | PRESIDENT DIRECTOR | NO', ' PRIYADI | DIRECTOR | NO', ' LIE LUCKMAN | DIRECTOR | NO', ' SUSANTI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' BUDI BOWOLEKSONO | PRESIDENT COMMISIONER | YES', ' PRIMUS DORIMULU | COMMISSIONER | NO']",1,AADI,Adaro Andalan Indonesia Tbk.,Ray Aryaputra,corsec@adaroindonesia.com,(021) 2553 3065,Director Name Position Affiliated Julius Aslan PRESIDENT DIRECTOR NoPriyadi DIRECTOR NoLie Luckman DIRECTOR NoSusanti - DIRECTOR - No,Comissioners Name Position Independent Budi Bowoleksono PRESIDENT COMMISIONER YesPrimus Dorimulu - COMMISSIONER - No,"['BUDI BOWOLEKSONO - HEAD ', ' IGNATIUS ROBBY SANI - MEMBER ', ' LINDAWATI GANI - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE BUDI BOWOLEKSONO - COMMISIONER - 0 - 0% ', ' PRIMUS DORIMULU - COMMISIONER - 8,500 - 0.0001% ', ' JULIUS ASLAN - DIRECTOR - 2,506,265 - 0.0322% ', ' PRIYADI - DIRECTOR - 207,108 - 0.0027% ', ' LIE LUCKMAN - DIRECTOR - 0 - 0% ', ' SUSANTI - DIRECTOR - 22,700 - 0.0003% ', ' AFILIASI - MORE THAN 5% - 1,468,230,571 - 18.8552% ', ' PT ADARO STRATEGIC INVESTMENTS - MORE THAN 5% - 3,200,142,830 - 41.0965% ', ' GARIBALDI THOHIR - MORE THAN 5% - 454,011,607 - 5.8304% ', ' PT ALAMTRI RESOURCES INDONESIA TBK (SEBELUMNYA BERNAMA PT ADARO ENERGY INDONESIA TBK) - MORE THAN 5% - 1,197,023,942 - 15.3723% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 1,464,738,237 - 18.8103%']","['ADARO AUSTRALIA PTY LTD | INVESTASI | 770 | 90', 'ADARO CAPITAL LIMITED | INVESTASI | 844,449 | 90', 'ADARO INTERNATIONAL (SINGAPORE) PTE LTD | PERDAGANGAN BATUBARA | 832,548 | 90', 'ARINDO HOLDINGS (MAURITIUS) LTD | INVESTASI | 1,692,658 | 90', 'ORCHARD MARITIME LOGISTICS PTE LTD | PENANGANAN DAN PENGANGKUTAN BATUBARA | 263 | 99.99', 'PT ADARO INDONESIA | PERTAMBANGAN | 2,167,745 | 88.47', 'PT ADARO JASA TIRTA | JASA PENUNJANG PENGELOLAAN AIR | 6,749 | 99.02', 'PT ADARO JASABARA INDONESIA | JASA | 8,653 | 99.99', 'PT ADARO LOGISTICS | JASA | 772,994 | 99.99', 'PT ADARO MINING TECHNOLOGIES | JASA | 16,819 | 99.99']","RINTIS, JUMADI, RIANTO & REKAN",53
AALI,https://www.idx.co.id/en/listed-companies/company-profiles/AALI,"['NAME | POSITION | AFFILIATED', ' DJAP TET FA | PRESIDENT DIRECTOR | NO', ' EKO PRASETYO | DIRECTOR | NO', ' WIDAYANTO | DIRECTOR | NO', ' TINGNING SUKOWIGNJO | DIRECTOR | NO', ' ARIEF CATUR IRAWAN | DIRECTOR | NO', ' BANDUNG SAHARI | DIRECTOR | NO', ' VERONICA LUSI HERDIYANTI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' SANTOSA | PRESIDENT COMMISIONER | NO', ' JOHANNES LOMAN | COMMISSIONER | NO', ' RATNA WARDHANI | COMMISSIONER | YES', ' ARIDONO SUKMANTO | COMMISSIONER | YES']",2,AALI,Astra Agro Lestari Tbk.,Tingning Sukowignjo,investor@astra-agro.co.id,021-4616555,Director Name Position Affiliated DJAP TET FA PRESIDENT DIRECTOR NoEKO PRASETYO DIRECTOR NoWIDAYANTO DIRECTOR NoTINGNING SUKOWIGNJO DIRECTOR NoARIEF CATUR IRAWAN DIRECTOR NoBANDUNG SAHARI DIRECTOR NoVERONICA LUSI HERDIYANTI - DIRECTOR - No,Comissioners Name Position Independent SANTOSA PRESIDENT COMMISIONER NoJOHANNES LOMAN COMMISSIONER NoRATNA WARDHANI COMMISSIONER YesARIDONO SUKMANTO - COMMISSIONER - Yes,"['RATNA WARDHANI - HEAD ', ' HERAWATI PRASETYO - MEMBER ', ' JULIANI ELIZA SYAFTARI - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT ASTRA INTERNATIONAL TBK - MORE THAN 5% - 340,510,927 - 17.69% ', ' PT ASTRA INTERNATIONAL TBK - MORE THAN 5% - 1,193,171,513 - 61.99% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 340,719,727 - 17.7% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 50,286,166 - 2.62%']","['PT AGRO MENARA RACHMAT | KELAPA SAWIT | 596,853 | 99.99', 'PT AGRO NUSA ABADI | KELAPA SAWIT | 1,065,236 | 99.99', 'PT BHADRA CEMERLANG | KELAPA SAWIT | 477,613 | 99.99', 'PT BHADRA SUKSES | KELAPA SAWIT | 120,365 | 99.80', 'PT BORNEO INDAH MARJAYA | KELAPA SAWIT | 1,019,697 | 99.99', 'PT CAKRADENTA AGUNG PERTIWI | KELAPA SAWIT | 44,840 | 99.99', 'PT CAKUNG PERMATA NUSA | KELAPA SAWIT | 41,154 | 99.99', 'PT CIPTA AGRO NUSANTARA | KELAPA SAWIT | 395,875 | 99.99', 'PT CIPTA NARADA LESTARI | KELAPA SAWIT | 126,011 | 99.99', 'PT EKA DURA INDONESIA | KELAPA SAWIT | 1,497,107 | 99.99']",,46
ABBA,https://www.idx.co.id/en/listed-companies/company-profiles/ABBA,"['NAME | POSITION | AFFILIATED', ' RONNY WILIMAS SUGIADHA | PRESIDENT DIRECTOR | NO', ' MUHAMMAD FADRI ATTAMIMI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' MARTIN SUHARLIE | COMMISSIONER | NO', ' ALDO RAMBIE | PRESIDENT COMMISIONER | YES']",3,ABBA,Mahaka Media Tbk.,S. Pramudityo Anggoro,corsec@mahakamedia.com,021-5739203,Director Name Position Affiliated Ronny Wilimas Sugiadha PRESIDENT DIRECTOR NoMuhammad Fadri Attamimi - DIRECTOR - No,Comissioners Name Position Independent Martin Suharlie COMMISSIONER NoAldo Rambie - PRESIDENT COMMISIONER - Yes,"['ALDO RAMBIE - HEAD ', ' OTTO EDUARD SITORUS - MEMBER ', ' ISENTA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT BEYOND MEDIA - MORE THAN 5% - 1,592,831,618 - 40.47% ', ' PT SOLIC KREASI BARU - MORE THAN 5% - 542,042,122 - 13.77% ', ' MEDIAHUIS IRELAND LIMITED - MORE THAN 5% - 282,886,300 - 7.19% ', ' MAHENDRA AGAKHAN T - MORE THAN 5% - 388,200 - 0.01% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 175,350,297 - 4.46% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 1,342,394,320 - 34.1%']","['PT AKASIA CEPAT INDONESIA | PENGIRIMAN BARANG | 1,000,000,000 | 50', 'PT AKASIA CEPAT INDONESIA | PENGIRIMAN BARANG | 1,000,000,000 | 50', 'PT AKASIA CEPAT INDONESIA | PENGIRIMAN BARANG | 1,000,000,000 | 50', 'PT AKASIA CEPAT INDONESIA | PENGIRIMAN BARANG | 1,000,000,000 | 50', 'PT AKASIA CEPAT INDONESIA | PENGIRIMAN BARANG | 1,000,000,000 | 50', 'PT AKASIA CODE DIGITAL | PENGEMBANGAN SOFTWARE | 1,268,959,209 | 50', 'PT AKASIA CODE DIGITAL | PENGEMBANGAN SOFTWARE | 1,319,265,632 | 50', 'PT AKASIA CODE DIGITAL | PENGEMBANGAN SOFTWARE | 1,265,959,043 | 50', 'PT AKASIA CODE DIGITAL | PENGEMBANGAN SOFTWARE | 1,235,619,433 | 50', 'PT AKASIA CODE DIGITAL | PENGEMBANGAN SOFTWARE | 1,227,516,061 | 50']",,45
ABDA,https://www.idx.co.id/en/listed-companies/company-profiles/ABDA,"['NAME | POSITION | AFFILIATED', ' JULIEN PIERRE COMBARET | DIRECTOR | NO', ' LIANI CHANDRA | DIRECTOR | NO', ' IWAN KURNIAWAN | DIRECTOR | NO', ' VINCENT CITIZEN SOEGIANTO | PRESIDENT DIRECTOR | NO', '  |  | NO']","['NAME | POSITION | INDEPENDENT', ' ABHISHEK BHATIA | PRESIDENT COMMISIONER | NO', ' KEVIN SOEDYATMIKO | COMMISSIONER | NO', ' NATHANIEL O.L. MANGUNSONG | COMMISSIONER | YES', ' FRANCISCO NORIEGA MALAVE | COMMISSIONER | YES']",4,ABDA,Asuransi Bina Dana Arta Tbk.,Muhammad Firzie Firdaus,firzie.firdaus@oona-insurance.co.id,021-51401688,Director Name Position Affiliated Julien Pierre Combaret DIRECTOR NoLiani Chandra DIRECTOR NoIwan Kurniawan DIRECTOR NoVincent Citizen Soegianto PRESIDENT - DIRECTOR - No,,[''],[''],"['PT ALTRA RAYA | REPARASI KENDARAAN | 4,601,819 | 99', 'PT ASURANSI BINA DANA ARTA TBK | ASURANSI | 2,758,783,285 | 100']",,2
ABMM,https://www.idx.co.id/en/listed-companies/company-profiles/ABMM,"['NAME | POSITION | AFFILIATED', ' ACHMAD ANANDA DJAJANEGARA | PRESIDENT DIRECTOR | NO', ' HARIS MUSTARTO | DIRECTOR | NO', ' FERIWAN SINATRA | DIRECTOR | NO', ' HANS CHRISTIAN MANOE | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' RACHMAT MULYANA HAMAMI | PRESIDENT COMMISIONER | NO', ' MIVIDA HAMAMI | COMMISSIONER | NO', ' ARIEF TARUNAKARYA SUROWIDJOJO | COMMISSIONER | YES', ' MANGGI TARUNA HABIR | COMMISSIONER | YES']",5,ABMM,ABM Investama Tbk.,Boogee Garystho Priyono,corporate.secretary@abm-investama.com,021-29976767,Director Name Position Affiliated Achmad Ananda Djajanegara PRESIDENT DIRECTOR NoHaris Mustarto DIRECTOR NoFeriwan Sinatra DIRECTOR NoHans Christian Manoe - DIRECTOR - No,Comissioners Name Position Independent Rachmat Mulyana Hamami PRESIDENT COMMISIONER NoMivida Hamami COMMISSIONER NoArief Tarunakarya Surowidjojo COMMISSIONER YesManggi Taruna Habir - COMMISSIONER - Yes,"['MANGGI TARUNA HABIR - HEAD ', ' FERRY A.J. ALIS - MEMBER ', ' AGUS YULIANTO - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE ARIEF TARUNAKARYA SUROWIDJOJO - COMMISIONER - 0 - 0% ', ' PT. TIARA MARGA TRAKINDO - MORE THAN 5% - 1,474,573,133 - 53.55% ', ' VALLE VERDE PTE LTD - MORE THAN 5% - 702,349,867 - 25.51% ', ' MASYARAKAT - MORE THAN 5% - 0 - 0% ', ' ACHMAD ANANDA DJAJANEGARA - DIRECTOR - 1,283,500 - 0.0466% ', ' MIVIDA HAMAMI - COMMISIONER - 133,500 - 0.0048% ', ' HARIS MUSTARTO - DIRECTOR - 0 - 0% ', ' RACHMAT MULYANA HAMAMI - COMMISIONER - 6,120,500 - 0.2223% ', ' MANGGI TARUNA HABIR - COMMISIONER - 0 - 0% ', ' DRS LO KHENG HONG - MORE THAN 5% - 154,015,300 - 5.594% ', ' FERIWAN SINATRA - DIRECTOR - 0 - 0%']","['PT AGATA NUGRAHA NASTARI | PERDAGANGAN/TRADING | 17,575,591 | 100', 'PT ALFA TRANS RAYA | TRANSPORTASI LAUT/SEA TRANSPORTATION | 8,471,087 | 99.99', 'PT ANANTA SARANA AMARA | JASA KONSULTASI MANAJEMEN/MANAGEMENT CONSULTATION SERVICE | 3,033 | 100', 'PT ANDARA CANDRIA ENERGI | INDUSTRI PEMBANGKIT LISTRIK ENERGI YANG TERBARUKAN/RENEWABLE ENERGY IPP | 940,014 | 99.12', 'PT ANZARA JANITRA NUSANTARA | INDUSTRI PEMBANGKIT LISTRIK ENERGI THERMAL/THERMAL ENERGY IPP | 1,879,651 | 100', 'PT BARUNA DIRGA DHARMA | TRANSPORTASI LAUT DOMESTIK/DOMESTIC SEA TRANSPORTATION | 27,030,463 | 99.99', 'PT BORNEO BERKAT MAKMUR | JASA KONSULTASI MANAJEMEN/MANAGEMENT CONSULTATION SERVICE | 1,208,649 | 100', 'PT BORNEO BERKAT PRIMA | JASA KONSULTASI MANAJEMEN/MANAGEMENT CONSULTATION SERVICE | 571,005 | 100', 'PT BORNEO BERKAT SANTOSA | JASA KONSULTASI MANAJEMEN/MANAGEMENT CONSULTATION SERVICE | 105 | 100', 'PT CIPTA KRIDA BAHARI | JASA LOGISTIK/LOGISTIC SERVICES | 159,071,044 | 100']",,26
ACES,https://www.idx.co.id/en/listed-companies/company-profiles/ACES,"['NAME | POSITION | AFFILIATED', ' PRABOWO WIDYA KRISNADI | PRESIDENT DIRECTOR | NO', ' SUHARNO | DIRECTOR | NO', ' GREGORY SUGYONO WIDJAJA | DIRECTOR | NO', ' TERESA LUCIA WIBOWO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' IR. HARTANTO DJASMAN | COMMISSIONER | NO', ' LETJEN TNI (PURN) TARUB | COMMISSIONER | YES', ' IRJEN POL (PURN) DRS. MATHIUS SALEMPANG | COMMISSIONER | YES', ' TARISA WIDYA KRISNADI | COMMISSIONER | NO', ' KUNCORO WIBOWO | PRESIDENT COMMISIONER | NO']",6,ACES,Aspirasi Hidup Indonesia Tbk.,Billy Utama Suria,corsec@ahi.id,+62215828282,Director Name Position Affiliated PRABOWO WIDYA KRISNADI PRESIDENT DIRECTOR NoSUHARNO DIRECTOR NoGREGORY SUGYONO WIDJAJA DIRECTOR NoTERESA LUCIA WIBOWO - DIRECTOR - No,HARTANTO DJASMAN - COMMISSIONER - No | TARUB - COMMISSIONER - Yes,[''],[''],"['PT KAWAN LAMA INOVASI | INDUSTRI DAN PERDAGANGAN | 765,544,688,484 | 99.98', 'PT KRISNA ASPIRASI SEJAHTERA | INDUSTRI DAN PERDAGANGAN | 88,105,255,482 | 99.99', 'PT OMNI DIGITAMA INTERNUSA | INDUSTRI DAN PERDAGANGAN | 109,131,538,265 | 30', 'PT TOYS GAMES INDONESIA | INDUSTRI DAN PERDAGANGAN | 363,117,907,352 | 60']",,4
ACRO,https://www.idx.co.id/en/listed-companies/company-profiles/ACRO,"['NAME | POSITION | AFFILIATED', ' CHUNG TAE SUNG | PRESIDENT DIRECTOR | NO', ' SUWARDI | DIRECTOR | NO', ' CAHYA WULANDARI, SH | DIRECTOR | NO', ' ASWINTH MARATIMBO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' DWI ASTUTI | PRESIDENT COMMISIONER | NO', ' SEOK JIN KIM | COMMISSIONER | YES']",7,ACRO,Samcro Hyosung Adilestari Tbk.,Endri Kusumah S.T,corsec@samcro.co.id,021-5960543,Director Name Position Affiliated Chung Tae Sung PRESIDENT DIRECTOR NoSuwardi - DIRECTOR - No | SH DIRECTOR NoASWINTH MARATIMBO - DIRECTOR - No,Comissioners Name Position Independent Dwi Astuti PRESIDENT COMMISIONER NoSeok Jin Kim - COMMISSIONER - Yes,"['SEOK JIN KIM - HEAD ', ' APRELIA SHANTY SITANGGANG - MEMBER ', ' ROSANA PURBA - MEMBER']",[''],[''],KANEL DAN REKAN,0
ACST,https://www.idx.co.id/en/listed-companies/company-profiles/ACST,"['NAME | POSITION | AFFILIATED', ' IDOT SUPRIADI | PRESIDENT DIRECTOR | NO', ' DAVID WIDJAJA | DIRECTOR | NO', ' SOEHARSONO TJATUR NUGROHO | DIRECTOR | NO', ' TJATUR HARIPRIAMBODO | DIRECTOR | NO', ' HASNANTO WAHYUDI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' FRANS KESUMA | PRESIDENT COMMISIONER | NO', ' IWAN HADIANTORO | COMMISSIONER | NO', ' VILIHATI SURYA | COMMISSIONER | NO', ' PUTUT EKO BAYUSENO | COMMISSIONER | NO', ' BUNTORO MULJONO | COMMISSIONER | YES', ' LINDAWATI GANI | COMMISSIONER | YES']",8,ACST,Acset Indonusa Tbk.,Kadek Ratih Paramita Absari,corporate.secretary@acset.co,0213511961,Director Name Position Affiliated Idot Supriadi PRESIDENT DIRECTOR NoDavid Widjaja DIRECTOR NoSoeharsono Tjatur Nugroho DIRECTOR NoTjatur Haripriambodo DIRECTOR NoHasnanto Wahyudi - DIRECTOR - No,Comissioners Name Position Independent Frans Kesuma PRESIDENT COMMISIONER NoIwan Hadiantoro COMMISSIONER NoVilihati Surya - COMMISSIONER - No,[''],[''],"['PT ACSET PONDASI INDONUSA | JASA KONSTRUKSI | 220,393 | 100', 'PT ACSET PONDASI INDONUSA | JASA KONSTRUKSI | 345,217 | 100', 'PT ACSET PONDASI INDONUSA | JASA KONSTRUKSI | 366,579 | 100', 'PT ACSET PONDASI INDONUSA | JASA KONSTRUKSI | 345,950 | 100', 'PT ACSET PONDASI INDONUSA | JASA KONSTRUKSI | 352,953 | 100', 'PT ACSET PONDASI INDONUSA | JASA KONSTRUKSI | 352,953 | 100', 'PT ANEKA RAYA KONSTRUKSI MESINDO | JASA PENUNJANG KONSTRUKSI | 116,524 | 99.94', 'PT ANEKA RAYA KONSTRUKSI MESINDO | JASA PENUNJANG KONSTRUKSI | 116,524 | 99.94', 'PT ANEKA RAYA KONSTRUKSI MESINDO | JASA PENUNJANG KONSTRUKSI | 115,585 | 99.94', 'PT ANEKA RAYA KONSTRUKSI MESINDO | JASA PENUNJANG KONSTRUKSI | 122,504 | 99.90']",,36
ADCP,https://www.idx.co.id/en/listed-companies/company-profiles/ADCP,"['NAME | POSITION | AFFILIATED', ' ACHMAD WACHID ABDULLAH | PRESIDENT DIRECTOR | NO', ' FARID BUDIYANTO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' WENRY ANSHORY PUTRA | PRESIDENT COMMISIONER | YES', ' YAN FIRWAN | COMMISSIONER | NO']",9,ADCP,Adhi Commuter Properti Tbk.,Bayu Purwana,corsec@adcp.co.id,021 228 229 80,Director Name Position Affiliated Achmad Wachid Abdullah PRESIDENT DIRECTOR NoFarid Budiyanto - DIRECTOR - No,Comissioners Name Position Independent Wenry Anshory Putra PRESIDENT COMMISIONER YesYan Firwan - COMMISSIONER - No,"['WENRY ANSHORY PUTRA - HEAD ', ' SUKMA HADI - MEMBER ', ' SITI NURWAHYUNINGSIH - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE KOPERASI JASA ADHI SEJAHTERA - MORE THAN 5% - 100,000 - 0.0004% ', ' WENRY ANSHORY PUTRA - COMMISIONER - 0 - 0% ', ' YAN FIRWAN - COMMISIONER - 0 - 0% ', ' ACHMAD WACHID ABDULLAH - DIRECTOR - 0 - 0% ', ' FARID BUDIYANTO - DIRECTOR - 0 - 0% ', ' PT ADHI KARYA (PERSERO) TBK - MORE THAN 5% - 19,999,900,000 - 89.9995% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 2,222,222,200 - 10%']","['PT MEGA GRAHA CITRA PERKASA | PROPERTI | 280,404,435,414 | 99.99']","AMIR ABADI JUSUF, ARYANTO, MAWAR & REKAN",1
ADES,https://www.idx.co.id/en/listed-companies/company-profiles/ADES,"['NAME | POSITION | AFFILIATED', ' WIHARDJO HADISEPUTRO | PRESIDENT DIRECTOR | NO', ' FANY SOEGIARTO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' HANJAYA LIMANTO | PRESIDENT COMMISIONER | NO', ' NANA PUSPA DEWI | COMMISSIONER | NO', ' JULIANTO | COMMISSIONER | YES']",10,ADES,Akasha Wira International Tbk.,Aprianti Kartika,aprianti.kartika@akashainternational.com,021-27545000,Director Name Position Affiliated Wihardjo Hadiseputro PRESIDENT DIRECTOR NoFany Soegiarto - DIRECTOR - No,Comissioners Name Position Independent Hanjaya Limanto PRESIDENT COMMISIONER NoNana Puspa Dewi COMMISSIONER NoJulianto - COMMISSIONER - Yes,['HASTUTI - MEMBER'],"['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE WATER PARTNERS BOTTLING, SA - MORE THAN 5% - 538,896,713 - 91.3544% ', ' DRA NANA PUSPA DEWI - COMMISIONER - 4,000 - 0.0007%']",[''],,0
